"disciplina_id","1 - as VA utilizaram slides com textos e imagens que favoreceram a aprendizagem.","2 - as VA utilizaram materiais relevantes e atualizados que geram engajamento.","3 - as VA foram objetivas e aproveitaram bem o tempo.","4 - as VA foram ministradas com boa dicção, clareza e segurança na exposição dos conteúdos.","5 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","6 - as AC favoreceram a colaboração, induzindo a troca de conhecimentos e experiências entre os alunos.","7 - as AC foram compatíveis com o tempo disponível.","8 - as AC foram relevantes para a compreensão dos conteúdos.","9 - as AC contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","10 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","11 - as AI favoreceram a sua imersão nos conteúdos, induzindo a aprendizagem autônoma.","12 - as AI foram compatíveis com o tempo disponível.","13 - as AI foram relevantes para a compreensão do conteúdo.","14 - as AI contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","15 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","16 - os FD foram abertos com questões geradoras de discussões ricas e relevantes.","17 - os FD foram bem conduzidos e avaliados, com intervenções que proporcionaram a sua aprendizagem.","18 - os FD contaram com materiais e orientações suficientes para a sua participação.","19 - os FD foram devidamente finalizados, com destaques para os principais conteúdos e participações da turma.","20 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","21 - os WB esclareceram suas dúvidas por meio de uma interação ao vivo.","22 - os WB forneceram feedbacks sobre o andamento da disciplina e o desempenho da turma.","23 - os WB colaboraram com a sua aprendizagem.","24 - os WB desempenharam papel importante na revisão dos conteúdos para as Avaliações Presenciais.","25 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","26 - as AS contiveram questões condizentes com o conteúdo ministrado.","27 - as AS foram compatíveis com o tempo disponível.","28 - as AS priorizaram a construção do conhecimento em detrimento da memorização.","29 - as AS apresentaram níveis de dificuldade compatíveis com o nível trabalhado na disciplina.","30 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","31 - as SV disponibilizaram de forma apropriada o plano de ensino e as informações sobre conteúdos, objetivos, metodologia e critérios de avaliação da disciplina.","32 - as SV atenderam às suas necessidades de aprendizagem, apresentando um formato intuitivo e didático.","33 - as SV foram dinâmicas e devidamente atualizadas durante a disciplina.","34 - as SV viabilizam a articulação entre a teoria X prática dos conteúdos.","35 - as SV foram ambientes de interações respeitosas e éticas entre alunos e professores.","36 - as SV relacionaram os conteúdos das disciplinas com a atuação profissional.","37 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","polo","curso","nome"
"","Concordo","Concordo","Concordo","Concordo","AS vídeos aulas muito extensas não são tão interessantes , pois se tornam cansativas.","Discordo","Discordo totalmente","Discordo totalmente","Discordo","Há casos no polo em que os professores da disciplina aplicam uma atividade complexa para fazer e postar na plataforma baseados na leitura minuciosa de algum livro de de 100 a 200 páginas para realizar em um perído de 4 horas e 40 minutos. O material é disponibilizado somente no dia da atividade, deveria ser com antecedência. Nesse período de 4horas e 30 minutos, o aluno deve ler o material, produzir um resumo para expor para sala, realizar a atividade da plataforma e postar até um certo horário, planejar e apresentar para sala utilizando recursos como slides, cartazes e outros. O tempo é pouco , o aproveitamento não é satisfatório. Outro problema é quando a sala é divida em dois grandes grupos, uns participam , outros não , alguns conseguem ler o material , outros não , não temos livros, a internet oscila muito e é dado somente uma xerox das páginas para cada grupo.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Discordo","Quando as questões exigem mais pesquisas ou parecem um questionário grande os alunos desistem de responder ou comentar .","Discordo","Discordo","Discordo","Concordo","sem resposta","Discordo","Concordo","Discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Mantena","[D17] - Linguística - Letras Português","JOYCE CORREA PEREIRA"
"","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","a maioria das video aulas são ministradas com clareza, porem alguns professores tem dificuldades de passar a materia com clareza, o que dificulta muito o entedimento do aluno.","Concordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","as vezes o tempo não é compativel com a atividade","Concordo","Concordo","Concordo","Não concordo nem discordo","as vezes te dificuldades de compreender aquilo que de fato o professor deseja","Concordo","Não concordo nem discordo","Discordo","Não concordo nem discordo","falta participação dos tutores","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","algumas webinars são otimas, mas algumas deixam a desejar, pois o professor não realizar uma revisão para tirar as duvidas e algumas vezes até confunde.","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","algumas a dificudade não condiz o que foi repassado","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","ainda temos dificuldades em utilizar as ferramentas","Joaíma","[D15] - Metodologia do Futsal - Educação Física","LIS MARQUES DE ANDRADE"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Concordo plenamente","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem palavras","Joaíma","[D15] - Metodologia do Futsal - Educação Física","KAROLAYNE RODRIGUES MEIRELES"
"","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Não concordo nem discordo","Discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","Edima Ferreira de Souza"
"","Não concordo nem discordo","Concordo","Discordo","Discordo","Sobre as vídeo aulas, algumas têm apresentado um bom conteúdo e boa explanação por parte do docente, porém, outras deixam a desejar, principalmente, se tratando da explicação do professor que muitas vezes se resume á apenas leitura de slides.","Concordo","Discordo","Concordo","Discordo","As vezes não fica claro o que o professor quer que nós, acadêmicos, realizemos em sala.","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Discordo","Discordo","Não concordo nem discordo","Discordo","sem resposta","Não concordo nem discordo","Discordo","Concordo","Não concordo nem discordo","Os webinars estão sendo marcados em cima da hora, e não tem como nós ficarmos a todo o momento verificando as datas. Já tem alguns webinars que eu não pude participar pelo fato de terem ficado com a data disponível quase no momento de começa-lo, as datas devem ser divulgadas com uma semana de antecedência para que nós possamos nos programar para participar.","Não concordo nem discordo","Concordo","Não concordo nem discordo","Discordo","Algumas avaliações feitas por mim não condiziam com o conteúdo ministrado nas aulas. Eu gostaria também de pedir que disponibilizem os gabaritos das provas para podermos corrigi-las e sabermos o que erramos, também peço que sejam mais rápidos com relação a divulgação das notas, pois já estou no terceiro período e me faltam notas até do primeiro tanto na plataforma quanto no webaluno.","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","Concordo","Discordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","Maria Luiza de Castro Silva"
"","Concordo","Concordo","Concordo","Concordo","Nada a reclama.","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Alguns webinars não ajuda muito não,os professores não dão uma boa revisão.","Concordo","Concordo","Concordo","Concordo","Algumas perguntas não estão claras para uma boa resposta.","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Nada a reclama","Monte Azul","[D15] - Metodologia do Futsal - Educação Física","ANA LUCIA TIAGO BARBOSA"
"","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","ELIAN VIVIA FERREIRA OLIVEIRA"
"","Concordo plenamente","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo plenamente","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","ANALICE CARDOSO NETO"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","Fernanda Assis Cardoso"
"","Concordo","Discordo","Concordo","Discordo totalmente","Estão colocando muitos materiais pra ler em tão pouco prazo,não está dando tempo absorver a materia,quando falo muito material,são muitos mesmo,agora mesmo estamos com uma que está com uns 20 artigos pra ler e tem uns que são os livros completos,de 350 páginas,pra nós que estuda a distância está complicado,porque não temos quem tira nossas dúvidas,explique a matéria,temos apenas o video que as professoras escolhem um tema mais fácil e coloca o resto pra nós ler e aprender sozinhos,isto não é justo,como vamos chegar no final do curso assim,minha turma está toda desmotivada,nós apegamos mais nas videoaula para as provas e elas são lançadas dos materiais disponibilizados que lemos mas não entendemos,já reclamamos,mas ninguém nos responde.","Concordo","Discordo","Concordo","Concordo","sem resposta","Discordo","Concordo","Discordo","Discordo","Como já disse,estão passando miito material pra ler em pouco prazo e as atividades de difícil compreensão,estamos todas perdidas.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Mas tem exceção,teve algumas matérias que as professoras não revisaram a matéria,ficaram esperando o aluno colocar pergunta e as vezes não temos tempo de ver a WB na hora certa,por causa do trabalho,mais tarde vamos ver pra ter uma segurança na prova e chega la nào tem nada.","Concordo","Concordo","Discordo","Concordo","sem resposta","Concordo","Discordo","Concordo","Discordo","Discordo","Discordo","sem resposta","Buritis","[D20] - Pesquisa em Educação - Pedagogia","ADEANE ALVES SIQUEIRA CARDOSO"
"","Concordo","Concordo","Concordo plenamente","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","MARXCILIANA MARIA FERNANDES CARVALHO"
"","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Discordo","Concordo","Concordo","Demoram um tempo infinito para disponibilizarem as notas pra nós alunos. Fazemos no tempo estipulado, mesmo que corrido, mas queremos saber das notas. Ficamos perdidos no tempo.","Discordo","Discordo","Discordo","Discordo","As Atividades Individuais estão totalmente fora de nexo. Focam em um só tema aí quando chega o dia da Avaliação Presencial fazem pergunta de toda matéria. E as notas não saem nunca!","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Fórum de Discussão pelo que sei é um espaço para debate e tirar dúvidas. O que está sendo feito é tipo uma avaliação. Os professores querem que respondamos com total certeza. Se erramos eles nos chamam a atenção como se tivéssemos que saber tudo. Mesmo participando ativamente, tem vez que tiram pontos pq não acertamos. Mas a gente só esta discutindo o assunto, afinal os fóruns são pra isso. Participando é o que conta em relação à pontuação.","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Discordo totalmente","Discordo","Discordo totalmente","Discordo totalmente","sem resposta","Não concordo nem discordo","Discordo","Discordo","Discordo","Concordo","Discordo totalmente","sem resposta","Buritis","[D20] - Pesquisa em Educação - Pedagogia","ELIANE PEREIRA DOS SANTOS ALVES"
"","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Excelentes professores.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","As atividades colaborativas estabelecem afetividade entre os colegas e tutores presenciais.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","As atividades individuais exigem determinação e competência dos acadêmicos para sua realização. Recomendaria mais agilidade por parte do tutor virtual em lançar as notas.","Concordo plenamente","Concordo","Concordo plenamente","Concordo plenamente","Nos Fóruns de Discussão podemos socializar com os demais colegas e debater sobre os assuntos propostos.","Concordo","Concordo","Concordo","Concordo","Os webnar favorecem a aprendizagem, mas não deve ser marcado de ultima hora, porque nem todos terão acesso devido aos compromissos.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","As avaliações presenciais comprovam que os alunos estão absorvendo o conteúdo ensinado. Gostaria de sugerir mais agilidade para lançar as notas da avaliação.","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","A sala virtual é um espaço importante para os acadêmicos desenvolverem atividades, revier as videoaulas, revisar os conteúdos.","Monte Azul","[D20] - Pesquisa em Educação - Pedagogia","ANTONIA MARIA FERNANDES ALVES"
"","Concordo","Discordo","Concordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","estao colocando muitas apostilas para ler, inumeros arquivos que nao nos ajudam em nada","Discordo","Concordo","Concordo","Discordo","sem resposta","Discordo","Discordo","Discordo","Discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Discordo","Discordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Buritis","[D20] - Pesquisa em Educação - Pedagogia","ELEN APARECIDA SOARES DA ROCHA"
"","Discordo","Discordo","Discordo","Discordo","Às vezes tem vários erros na correção das atividades, como demora para passar o resultado das avaliações.","Concordo plenamente","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo plenamente","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo plenamente","sem resposta","Discordo","Discordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","as SV foram ambientes de interações respeitosas e éticas entre alunos e professores. Discordo totalmente Discordo Não concordo nem discordo Concordo Concordo plenamente","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","WILKSON SANTOS"
"","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","WESKLEY DOS SANTOS OLIVEIRA"
"","Concordo","Discordo","Discordo","Concordo","Desde o inicio do curso usamos como material de estudo trabalhos acadêmicos encontrados na internet.","Concordo","Concordo","Concordo","Discordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Discordo","Concordo","sem resposta","Discordo","Discordo","Discordo","Discordo","O webnar poderia ser melhor. Poucos professores conseguem deixar o conteúdo da disciplina um pouco mais claro pois chegam a repetir as mesmas falas das aulas.","Não concordo nem discordo","Concordo","Concordo","Discordo","Entendo que as avaliações possuem um grau de dificuldade mais elevado não sendo compatível com o conteúdo das aulas que tem sido superficial.","Discordo","Discordo","Discordo","Discordo","Não concordo nem discordo","Concordo","O ambiente virtual pode ser mais intuitivo e dinâmico.","Montes Claros","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","Aline Fernandes Gonçalves"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo plenamente","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Urucuia","[D20] - Pesquisa em Educação - Pedagogia","IRACEMA BARBOSA SOARES"
"","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","EM RELAÇÃO AOS MATERIAIS DE REFERÊNCIA, ACHO MUITA COISA PARA POUCO TEMPO. PENSO QUE AS VIDEOAULAS DEVERIAM SER MAIS OBJETIVAS, CONTEMPLANDO OS CONTEÚDOS DAS AVALIAÇÕES E ATIVIDADES.","Concordo","Discordo","Concordo","Discordo","AS AC SÃO MUITAS VEZES COMPLEXAS, O TEMPO DISPONÍVEL É POUCO.","Concordo","Concordo","Concordo","Não concordo nem discordo","ALGUMAS AI DEVERIAM SER MAIS CLARAS E DIDÁTICAS.","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","ACHO QUE ALGUNS FÓRUNS SÃO MUITOS COMPLEXOS. PENSO EU QUE ELSE DEVERIAM SER UM ESPAÇO DE APRENDIZAGEM, MAS O QUE VEJO É SÓ COBRANÇAS DE CONTEÚDOS QUE AINDA NÃO CONSEGUI APRENDER!!!","Não concordo nem discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","DEVERIAM SER MAIS ORGANIZADAS, OBJETIVAS E TAMBÉM COM DATA E HORÁRIO FIXO.","Concordo","Concordo","Concordo","Não concordo nem discordo","EM RELAÇÃO AS AS, NÃO TENHO MUITO DO QUE RECLAMAR.","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","NADA A DECLARAR!","Buritis","[D20] - Pesquisa em Educação - Pedagogia","DANIELA RODRIGUES DOS SANTOS"
"","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","nada","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","nada","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","nada","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","nada","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","nada","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","nada","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","nada","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","Daiana Gomes Quaresma"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Joaíma","[D15] - Metodologia do Futsal - Educação Física","ALENICE FERRAZ  SOUTO"
"","Concordo","Não concordo nem discordo","Discordo","Não concordo nem discordo","sem resposta","Concordo","Discordo totalmente","Não concordo nem discordo","Discordo","Infelizmente, em algumas disciplinas o tempo disponibilizado não está sendo suficiente, visto que, temos que ler conteúdos extensos e complexos e isso nos exige um tempo maior para a compreensão. Dessa forma, algumas atividades ficam incompletas ou mal feitas, gastamos uma boa parte do tempo só tentando entender o que foi proposto pelo professor.","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Infelizmente as algumas das AIs nãavoreceram a sua imersão nos conteúdos, induzindo a aprendizagem autônoma","Discordo","Discordo","Discordo","Discordo","Infelizmente os fóruns de discussão tem nos deixado preocupados, pois, no meu ponto de vista, o fórum de discussão seria para enriquecer o nosso aprendizado, mas na maioria das vezes, quando respondemos erroneamente, é a chamada a nossa atenção no próprio fórum de discussão como se fossemos obrigados a saber tudo, estamos aqui para aprender, porém nos fóruns eu fico com receio de postar a minha resposta e estar errada, me sinto mais segura com relação as Atividades Individuais","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Os WB esclareceram suas dúvidas por meio de uma interação ao vivo, sim, quando aconteceram nos dias e horários marcados.","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","As Avaliações apresentaram níveis de dificuldade compatíveis com o nível trabalhado na disciplina, sim, algumas","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Buritis","[D20] - Pesquisa em Educação - Pedagogia","ARLENE SILVINO DAS NEVES"
